+,,,,-,++,++,++,--,--,---,--,--,++,++,++,-,,,,+
,+,,,,-,++,++,++,--,--,--,++,++,++,-,,,,+,
,,+,,,,-,++,++,++,--,++,++,++,-,,,,+,,
,,,+,,,,-,++,++,---,++,++,-,,,,+,,,
-,,,,+,,,,-,++,++,++,-,,,,+,,,,-
++,-,,,,+,,,,-,++,-,,,,+,,,,-,++
++,++,-,,,,+,,,,-,,,,+,,,,-,++,++
++,++,++,-,,,,+,,,,,,+,,,,-,++,++,++
--,++,++,++,-,,,,+,,,,+,,,,-,++,++,++,--
--,--,++,++,++,-,,,,+,,+,,,,-,++,++,++,--,--
---,--,--,---,++,++,-,,,,+,,,,-,++,++,---,--,--,---
--,--,++,++,++,-,,,,+,,+,,,,-,++,++,++,--,--
--,++,++,++,-,,,,+,,,,+,,,,-,++,++,++,--
++,++,++,-,,,,+,,,,,,+,,,,-,++,++,++
++,++,-,,,,+,,,,-,,,,+,,,,-,++,++
++,-,,,,+,,,,-,++,-,,,,+,,,,-,++
-,,,,+,,,,-,++,++,++,-,,,,+,,,,-
,,,+,,,,-,++,++,---,++,++,-,,,,+,,,
,,+,,,,-,++,++,++,--,++,++,++,-,,,,+,,
,+,,,,-,++,++,++,--,--,--,++,++,++,-,,,,+,
+,,,,-,++,++,++,--,--,---,--,--,++,++,++,-,,,,+
