---,++,---,++,---,--,--,--,--,--,--,---,++,---,++,---
++,---,++,--,--,+,+,,,+,+,--,--,++,---,++
---,++,--,+,+,+,+,,,+,+,+,+,--,++,---
++,--,,,,,,,,,,,,,--,++
---,--,,,,,,,,,,,,,--,---
--,+,,,,,+,+,+,+,,,,,+,--
--,+,+,,,+,+,+,+,+,+,,,+,+,--
--,+,+,,,+,+,+,+,+,+,,,+,+,--
--,+,,,,,+,+,+,+,,,,,+,--
--,,,,,,,,,,,,,,,--
--,,,,--,--,--,--,--,--,--,--,,,,--
---,--,--,--,-,-,--,-,-,--,-,-,--,--,--,---
++,---,--,-,-,-,--,-,-,--,-,-,-,--,---,++
---,++,--,-,-,-,-,-,-,-,-,-,-,--,++,---
++,---,++,--,-,-,-,-,-,-,-,-,--,++,---,++
---,++,---,++,--,--,--,--,--,--,--,--,++,---,++,---
